Symbol	RAPdb	MSU	path
COPT1	Os01g0770700	LOC_Os01g56420	data/Gene/Abstract/C/COPT1
COPT5	Os05g0424700	LOC_Os05g35050	data/Gene/Abstract/C/COPT5
COR413-TM1|Oscor413-tm1	Os05g0566800	LOC_Os05g49170	data/Gene/Abstract/C/COR413-TM1~Oscor413-tm1
COX11|OsCOX11	Os03g0718600	LOC_Os03g50940	data/Gene/Abstract/OS/C/OsCOX11
COX5c	Os12g0561000	LOC_Os12g37419	data/Gene/Abstract/C/COX5c
coxVb|COX5b	Os01g0612200	LOC_Os01g42650	data/Gene/Abstract/C/coxVb~COX5b
CP24	Os04g0457000	LOC_Os04g38410	data/Gene/Body/C/CP24
CP29|OsLhcb4	Os07g0558400	LOC_Os07g37240	data/Gene/Body/C/CP29
CPD|OsCPDP|qUVR-10	Os10g0167600	LOC_Os10g08580	data/Gene/Abstract/OS/C/OsCPDP~qUVR-10
CPT1	Os02g0568200	LOC_Os02g35970	data/Gene/Abstract/C/CPT1
CRC1	Os04g0479000	LOC_Os04g40290	data/Gene/Abstract/C/CRC1
CRK10	Os07g0541500	LOC_Os07g35700	data/Gene/Abstract/C/CRK10
CRK6	Os07g0541400	LOC_Os07g35690	data/Gene/Abstract/C/CRK6
CRL1|ARL1	Os03g0149100	LOC_Os03g05510	data/Gene/Abstract/C/CRL1~ARL1
CRL4|OsGNOM1	Os03g0666100	LOC_Os03g46330	data/Gene/Abstract/OS/G/OsGNOM1
Crl5	Os07g0124700	LOC_Os07g03250	data/Gene/Abstract/C/CRL5
CRO1	Os07g0246200	LOC_Os07g14270	data/Gene/Abstract/C/CRO1
CRP	Os05g0468800	LOC_Os05g39250	data/Gene/Body/C/CRP
CRR1	Os03g0119500	None	data/Gene/Abstract/C/CRR1
CRR6	Os08g0167500	LOC_Os08g07060	data/Gene/Abstract/C/CRR6
CRT	Os03g0832200	LOC_Os03g61670	data/Gene/Body/C/CRT
CRTintP	Os07g0498800	LOC_Os07g31540	data/Gene/Body/C/CRTintP
CSA	Os01g0274800	LOC_Os01g16810	data/Gene/Abstract/C/CSA
CslF6	Os08g0160500	LOC_Os08g06380	data/Gene/Abstract/C/CslF6
CSN6	Os08g0500000	LOC_Os08g39070	data/Gene/Abstract/C/CSN6
CSP41b|LGL1	Os12g0420200	LOC_Os12g23180	data/Gene/Abstract/C/CSP41b
Ctb1	Os04g0619300	LOC_Os04g52830	data/Gene/Abstract/C/Ctb1
CTB4a	Os04g0132500	LOC_Os04g04330	data/Gene/Abstract/C/CTB4a
CTD2	Os02g0650800	LOC_Os02g43460	data/Gene/Body/C/CTD2
CTMyb1	Os02g0776700	LOC_Os02g53670	data/Gene/Abstract/C/CTMyb1
CycB1;1|OsCycB1;1	Os01g0805600	LOC_Os01g59120	data/Gene/Abstract/C/CycB1;1
Cyclin-T1;3	Os11g0157100	LOC_Os11g05850	data/Gene/Abstract/C/CycT1;3
CYCLOPS|OsIPD3	Os06g0115600	LOC_Os06g02520	data/Gene/Abstract/OS/I/OsIPD3
CYCU4;1	Os10g0563900	LOC_Os10g41430	data/Gene/Abstract/C/CYCU4;1
CYP703A3	Os08g0131100	LOC_Os08g03682	data/Gene/Abstract/C/CYP703A3
CYP704B2	Os03g0168600	LOC_Os03g07250	data/Gene/Abstract/C/CYP704B2
CYP714B1	Os07g0681300	LOC_Os07g48330	data/Gene/Abstract/C/CYP714B1
CYP714B2	Os03g0332100	LOC_Os03g21400|LOC_Os03g21419	data/Gene/Abstract/C/CYP714B2
CYP72A31	Os01g0602200	LOC_Os01g41800	data/Gene/Abstract/C/CYP72A31
CYP734A2	Os02g0204700	LOC_Os02g11020	data/Gene/Abstract/C/CYP734A2
CYP734A4	Os06g0600400	LOC_Os06g39880	data/Gene/Abstract/C/CYP734A4
CYP734A5	Os07g0647200	LOC_Os07g45290	data/Gene/Abstract/C/CYP734A5
CYP734A6	Os01g0388000	LOC_Os01g29150	data/Gene/Abstract/C/CYP734A6
CYP76M6	Os02g0571900	LOC_Os02g36280	data/Gene/Abstract/C/CYP76M6
